CITY,SIZE
1919,18661
1920,18654
1921,18648
1922,18645
1923,18643
1924,18613
1925,18605
1926,18602
1927,18602
1928,18571
1929,18544
1930,18535
1931,18531
1932,18520
1933,18513
1934,18492
1935,18486
1936,18484
1937,18474
1938,18473
1939,18471
1940,18459
1941,18459
1942,18456
1943,18427
1944,18399
1945,18392
1946,18387
1947,18385
1948,18375
1949,18371
1950,18357
1951,18338
1952,18338
1953,18319
1954,18315
1955,18306
1956,18298
1957,18268
1958,18263
1959,18261
1960,18257
1961,18256
1962,18255
1963,18252
1964,18249
1965,18238
1966,18226
1967,18218
1968,18205
1969,18201
1970,18193
1971,18172
1972,18164
1973,18160
1974,18149
1975,18147
1976,18144
1977,18133
1978,18129
1979,18111
1980,18107
1981,18085
1982,18031
1983,18029
1984,18026
1985,18019
1986,17979
1987,17961
1988,17960
1989,17959
1990,17947
1991,17944
1992,17937
1993,17936
1994,17936
1995,17889
1996,17870
1997,17862
1998,17860
1999,17848
2000,17846
2001,17845
2002,17843
2003,17839
2004,17833
2005,17795
2006,17790
2007,17788
2008,17786
2009,17771
2010,17769
2011,17761
2012,17758
2013,17740
2014,17726
2015,17720
2016,17719
2017,17712
2018,17712
2019,17705
2020,17685
2021,17661
2022,17639
2023,17634
2024,17607
2025,17604
2026,17598
2027,17595
2028,17576
2029,17551
2030,17537
2031,17526
2032,17522
2033,17516
2034,17511
2035,17503
2036,17493
2037,17480
2038,17470
2039,17461
2040,17446
2041,17443
2042,17413
2043,17409
2044,17396
2045,17367
2046,17352
2047,17332
2048,17327
2049,17321
2050,17319
2051,17316
2052,17302
2053,17298
2054,17281
2055,17280
2056,17271
2057,17252
2058,17252
2059,17249
2060,17228
2061,17216
2062,17214
2063,17200
2064,17196
2065,17178
2066,17178
2067,17173
2068,17165
2069,17126
2070,17125
2071,17118
2072,17117
2073,17109
2074,17104
2075,17086
2076,17084
2077,17080
2078,17067
2079,17054
2080,17050
2081,17044
2082,17040
2083,17033
2084,17033
2085,17031
2086,17025
2087,17015
2088,17007
2089,17006
2090,17005
2091,17005
2092,16999
2093,16984
2094,16979
2095,16977
2096,16974
2097,16951
2098,16950
2099,16937
2100,16937
2101,16924
2102,16921
2103,16920
2104,16919
2105,16918
2106,16884
2107,16861
2108,16854
2109,16846
2110,16832
2111,16825
2112,16821
2113,16811
2114,16793
2115,16775
2116,16762
2117,16753
2118,16748
2119,16724
2120,16722
2121,16715
2122,16682
2123,16665
2124,16644
2125,16642
2126,16635
2127,16631
2128,16616
2129,16604
2130,16586
2131,16583
2132,16549
2133,16530
2134,16511
2135,16472
2136,16450
2137,16446
2138,16446
2139,16438
2140,16431
2141,16429
2142,16413
2143,16404
2144,16403
2145,16401
2146,16400
2147,16400
2148,16393
2149,16345
2150,16345
2151,16335
2152,16331
2153,16328
2154,16321
2155,16321
2156,16318
2157,16314
2158,16302
2159,16285
2160,16281
2161,16271
2162,16270
2163,16254
2164,16234
2165,16230
2166,16220
2167,16211
2168,16204
2169,16203
2170,16199
2171,16198
2172,16189
2173,16184
2174,16184
2175,16176
2176,16166
2177,16164
2178,16157
2179,16148
2180,16147
2181,16130
2182,16111
2183,16110
2184,16107
2185,16105
2186,16090
2187,16070
2188,16069
2189,16068
2190,16053
2191,16034
2192,16011
2193,16007
2194,16005
2195,15984
2196,15978
2197,15963
2198,15930
2199,15916
2200,15894
2201,15890
2202,15870
2203,15869
2204,15863
2205,15862
2206,15862
2207,15862
2208,15834
2209,15807
2210,15800
2211,15800
2212,15788
2213,15787
2214,15787
2215,15776
2216,15770
2217,15767
2218,15749
2219,15744
2220,15725
2221,15717
2222,15714
2223,15685
2224,15684
2225,15667
2226,15650
2227,15627
2228,15626
2229,15619
2230,15591
2231,15583
2232,15563
2233,15561
2234,15558
2235,15556
2236,15551
2237,15546
2238,15545
2239,15544
2240,15544
2241,15531
2242,15526
2243,15514
2244,15506
2245,15503
2246,15497
2247,15490
2248,15487
2249,15474
2250,15470
2251,15468
2252,15467
2253,15455
2254,15448
2255,15443
2256,15441
2257,15441
2258,15433
2259,15431
2260,15431
2261,15426
2262,15423
2263,15416
2264,15399
2265,15388
2266,15385
2267,15380
2268,15380
2269,15379
2270,15352
2271,15345
2272,15342
2273,15336
2274,15334
2275,15319
2276,15313
2277,15313
2278,15311
2279,15300
2280,15299
2281,15297
2282,15292
2283,15279
2284,15272
2285,15272
2286,15262
2287,15258
2288,15253
2289,15251
2290,15248
2291,15245
2292,15243
2293,15241
2294,15234
2295,15196
2296,15187
2297,15185
2298,15183
2299,15181
2300,15175
2301,15173
2302,15169
2303,15160
2304,15152
2305,15111
2306,15106
2307,15102
2308,15101
2309,15092
2310,15069
2311,15054
2312,15044
2313,15040
2314,15036
2315,15022
2316,15022
2317,15018
2318,15011
2319,15005
2320,14983
2321,14981
2322,14958
2323,14954
2324,14949
2325,14947
2326,14947
2327,14946
2328,14942
2329,14922
2330,14888
2331,14882
2332,14872
2333,14862
2334,14859
2335,14857
2336,14850
2337,14850
2338,14844
2339,14836
2340,14819
2341,14809
2342,14807
2343,14800
2344,14794
2345,14790
2346,14782
2347,14777
2348,14762
2349,14759
2350,14757
2351,14747
2352,14728
2353,14718
2354,14699
2355,14672
2356,14656
2357,14649
2358,14642
2359,14636
2360,14612
2361,14611
2362,14608
2363,14606
2364,14587
2365,14587
2366,14575
2367,14562
2368,14560
2369,14557
2370,14554
2371,14549
2372,14548
2373,14542
2374,14541
2375,14540
2376,14539
2377,14522
2378,14522
2379,14517
2380,14510
2381,14503
2382,14495
2383,14453
2384,14452
2385,14450
2386,14446
2387,14440
2388,14435
2389,14418
2390,14417
2391,14410
2392,14407
2393,14404
2394,14387
2395,14376
2396,14368
2397,14368
2398,14363
2399,14359
2400,14356
2401,14354
2402,14352
2403,14345
2404,14339
2405,14332
2406,14327
2407,14326
2408,14324
2409,14324
2410,14302
2411,14270
2412,14266
2413,14263
2414,14258
2415,14255
2416,14255
2417,14223
2418,14222
2419,14216
2420,14210
2421,14207
2422,14206
2423,14189
2424,14177
2425,14149
2426,14147
2427,14141
2428,14134
2429,14127
2430,14121
2431,14121
2432,14106
2433,14096
2434,14092
2435,14085
2436,14082
2437,14079
2438,14075
2439,14073
2440,14071
2441,14063
2442,14056
2443,14051
2444,14050
2445,14046
2446,14043
2447,14036
2448,14023
2449,14023
2450,14007
2451,14000
2452,13998
2453,13986
2454,13981
2455,13977
2456,13973
2457,13965
2458,13956
2459,13953
2460,13947
2461,13938
2462,13936
2463,13929
2464,13921
2465,13915
2466,13901
2467,13894
2468,13891
2469,13888
2470,13886
2471,13862
2472,13859
2473,13848
2474,13840
2475,13833
2476,13820
2477,13818
2478,13813
2479,13782
2480,13781
2481,13773
2482,13769
2483,13765
2484,13761
2485,13754
2486,13742
2487,13741
2488,13740
2489,13734
2490,13717
